outlet_id,outlet_code,outlet_name,legal_name,channel,outlet_format,city,state,region_id,pincode,latitude,longitude,route_id,salesperson_id,onboarded_date,credit_limit_inr,credit_terms_days,gst_number,storage_type,chiller_available,avg_monthly_footfall,contact_name,contact_phone,contact_email,last_audit_date,risk_flag,status,closed_date,is_deleted,created_at,updated_at
14,OUT00014,Star Supermarket,,HORECA,HOTEL,Chennai,Tamil Nadu,2,151213,23.913777,75.161394,68,26,2023-05-10,477000.0,30,11ABCDE1842F1Z4,AMBIENT,0,2775,Farah Nair,9873089711,farah.nair@example.com,2025-01-13,LOW,ACTIVE,,0,2023-05-10 00:00:00,
15,OUT00015,Balaji Provision,,GT,KIRANA,Hyderabad,Telangana,2,624148,30.150752,91.789456,66,41,2021-10-23,318000.0,45,18ABCDE2853F1Z0,AMBIENT,0,22271,Naveen Das,9902345551,naveen.das@example.com,2025-12-02,MEDIUM,ACTIVE,,0,2021-10-23 00:00:00,
16,OUT00016,Star Supermarket,,ECOM_DARKSTORE,DARKSTORE,Raipur,Chhattisgarh,5,508009,8.719627,89.459097,138,68,2019-12-20,847000.0,14,01ABCDE1264F1Z1,AMBIENT,0,21268,Leela Dutta,9395101258,leela.dutta@example.com,2025-03-01,HIGH,ACTIVE,,0,2019-12-20 00:00:00,
17,OUT00017,New Supermarket,,MT,MINI_MARKET,Nagpur,Maharashtra,5,159218,14.376232,70.05903,2,38,2022-06-01,509000.0,30,34ABCDE5992F1Z6,AMBIENT_CHILLED,0,22351,Rahul Ghosh,9825601120,,2025-07-10,LOW,ACTIVE,,0,2022-06-01 00:00:00,
18,OUT00018,Green Stores,,HORECA,HOTEL,Guwahati,Assam,4,340245,23.072563,79.332721,31,33,2023-07-18,468000.0,14,26ABCDE3218F1Z2,AMBIENT,1,20176,Farah Mehta,9228335709,farah.mehta@example.com,2026-01-06,LOW,DELETED,,1,2023-07-18 00:00:00,
19,OUT00019,Anand Provision,,HORECA,QSR,Nagpur,Maharashtra,5,556350,24.194177,83.237599,36,46,2019-02-13,334000.0,7,01ABCDE4640F1Z6,AMBIENT,0,8268,Leela Verma,9852747456,leela.verma@example.com,2025-01-07,MEDIUM,ACTIVE,,0,2019-02-13 00:00:00,
20,OUT00020,Nova Provision,,GT,KIRANA,Pune,Maharashtra,1,227018,10.061763,88.500792,79,5,2023-12-09,283000.0,7,25ABCDE3359F1Z3,AMBIENT_CHILLED,0,389,Nisha Ghosh,9751854501,nisha.ghosh@example.com,2025-11-20,LOW,ACTIVE,,0,2023-12-09 00:00:00,
21,OUT00021,Green Enterprises,,ECOM_DARKSTORE,DARKSTORE,Pune,Maharashtra,1,642606,12.185266,91.41117,66,49,2020-09-19,822000.0,14,04ABCDE3593F1Z0,AMBIENT,0,14213,Naveen Pillai,9478121003,naveen.pillai@example.com,2025-01-29,HIGH,ACTIVE,,0,2020-09-19 00:00:00,
22,OUT00022,Nova Stores,,HORECA,HOTEL,Patna,Bihar,4,113725,10.520319,72.676391,51,68,2019-09-12,408000.0,0,32ABCDE4517F1Z3,AMBIENT,1,1475,Deepak Mehta,9405880732,,2025-09-29,LOW,DELETED,,1,2019-09-12 00:00:00,
23,OUT00023,Sri Provision,,MT,MINI_MARKET,Jaipur,Rajasthan,3,764671,17.477488,69.818941,96,18,2019-12-18,260000.0,45,18ABCDE7994F1Z8,AMBIENT,1,12274,Ritu Bose,9242225284,ritu.bose@example.com,2025-09-24,HIGH,ACTIVE,,0,2019-12-18 00:00:00,
24,OUT00024,Sri Bazaar,,GT,GENERAL_STORE,Bengaluru,Karnataka,2,545443,20.52719,80.98147,45,93,2018-10-13,765000.0,21,30ABCDE6401F1Z0,AMBIENT,1,15940,Divya Menon,9619425985,divya.menon@example.com,2026-02-16,HIGH,ACTIVE,,0,2018-10-13 00:00:00,
25,OUT00025,New Mart,,GT,CHEMIST,Kolkata,West Bengal,4,566551,12.060779,82.821029,58,18,2021-05-16,90000.0,45,09ABCDE3052F1Z1,AMBIENT,0,24767,Tara Das,9205278724,tara.das@example.com,2026-04-26,LOW,ACTIVE,,0,2021-05-16 00:00:00,
26,OUT00026,Royal Bazaar,,GT,CHEMIST,Raipur,Chhattisgarh,5,667728,19.232386,78.784853,92,58,2024-05-18,432000.0,21,11ABCDE6487F1Z1,AMBIENT,0,10188,Divya Joshi,9848490799,divya.joshi@example.com,2025-09-10,LOW,CLOSED,2026-06-25,0,2024-05-18 00:00:00,
27,OUT00027,Green Supermarket,,ECOM_DARKSTORE,DARKSTORE,Ludhiana,Punjab,3,157205,15.398026,79.638062,107,79,2024-06-30,807000.0,45,21ABCDE6552F1Z3,AMBIENT,0,3294,Divya Bose,9112972780,divya.bose@example.com,2025-03-10,LOW,ACTIVE,,0,2024-06-30 00:00:00,
28,OUT00028,Balaji Stores,,HORECA,CAFE,New Delhi,Delhi,3,798386,18.774839,92.264087,107,80,2021-09-17,245000.0,14,14ABCDE6656F1Z3,AMBIENT,0,10342,Pooja Nair,9187331439,pooja.nair@example.com,2025-11-24,HIGH,ACTIVE,,0,2021-09-17 00:00:00,
29,OUT00029,Anand Supermarket,,GT,GENERAL_STORE,Jaipur,Rajasthan,3,566213,28.347098,87.092751,78,51,2020-06-19,512000.0,7,20ABCDE9362F1Z8,AMBIENT_CHILLED,0,10326,Leela Chauhan,9932168050,leela.chauhan@example.com,2025-06-04,LOW,ACTIVE,,0,2020-06-19 00:00:00,
30,OUT00030,Sri Enterprises,,HORECA,CAFE,Delhi,Delhi,3,271856,21.610732,71.940152,140,9,2021-10-10,789000.0,14,36ABCDE4862F1Z4,AMBIENT,1,13321,Imran Verma,9454329007,imran.verma@example.com,2026-03-14,LOW,CLOSED,2025-09-21,0,2021-10-10 00:00:00,
31,OUT00031,Metro Enterprises,,GT,GENERAL_STORE,Nagpur,Maharashtra,5,396161,31.466584,91.968448,16,50,2021-05-22,761000.0,7,23ABCDE9856F1Z2,AMBIENT,0,8649,Farah Nair,9109833325,,2025-09-15,LOW,ACTIVE,,0,2021-05-22 00:00:00,
32,OUT00032,Nova Mart,,HORECA,QSR,Surat,Gujarat,1,671543,10.233861,69.412109,78,57,2019-06-16,228000.0,45,05ABCDE8640F1Z7,AMBIENT,1,9558,Sneha Reddy,9463381951,sneha.reddy@example.com,2026-04-13,HIGH,ACTIVE,,0,2019-06-16 00:00:00,
33,OUT00033,Star Enterprises,,GT,GENERAL_STORE,Delhi,Delhi,3,545223,22.975671,70.918631,19,20,2022-09-24,124000.0,14,30ABCDE4548F1Z5,AMBIENT,0,2088,Ananya Bose,9281808087,ananya.bose@example.com,2025-05-29,HIGH,ACTIVE,,0,2022-09-24 00:00:00,
34,OUT00034,Sri Supermarket,,GT,GENERAL_STORE,Guwahati,Assam,4,349211,27.186107,69.098122,113,45,2019-10-20,132000.0,7,31ABCDE9754F1Z5,AMBIENT,0,7698,Tara Sharma,9232971687,tara.sharma@example.com,2025-06-02,LOW,ACTIVE,,0,2019-10-20 00:00:00,
35,OUT00035,Star Bazaar,,HORECA,CLOUD_KITCHEN,Nagpur,Maharashtra,5,540601,22.473647,86.803385,19,93,2022-12-16,710000.0,14,30ABCDE6255F1Z3,AMBIENT,0,19654,Naveen Dutta,9950205071,naveen.dutta@example.com,2026-05-07,LOW,ACTIVE,,0,2022-12-16 00:00:00,
36,OUT00036,Nova Enterprises,,HORECA,HOTEL,Jaipur,Rajasthan,3,613456,26.133277,86.227198,20,13,2018-06-13,770000.0,45,09ABCDE5876F1Z7,AMBIENT,0,22469,Naveen Dutta,9120106653,naveen.dutta@example.com,2026-02-24,LOW,ACTIVE,,0,2018-06-13 00:00:00,
37,OUT00037,Star Stores,,GT,KIRANA,Indore,Madhya Pradesh,5,650236,30.608329,91.397523,122,86,2023-04-29,166000.0,30,11ABCDE2812F1Z1,AMBIENT_CHILLED,0,10886,Leela Patel,9434233547,leela.patel@example.com,2026-01-08,MEDIUM,ACTIVE,,0,2023-04-29 00:00:00,
38,OUT00038,Green Mart,,ECOM_DARKSTORE,DARKSTORE,Surat,Gujarat,1,498919,19.101323,82.323034,66,23,2020-06-21,851000.0,30,25ABCDE5584F1Z4,AMBIENT_CHILLED,0,18668,Leela Ghosh,9746737005,leela.ghosh@example.com,2025-01-20,LOW,ACTIVE,,0,2020-06-21 00:00:00,
39,OUT00039,Sri Enterprises,,MT,SUPERMARKET,Patna,Bihar,4,760668,26.229128,79.468162,78,7,2020-08-20,770000.0,45,14ABCDE8164F1Z8,AMBIENT_CHILLED,1,15545,Rohit Kulkarni,9302112594,rohit.kulkarni@example.com,2026-04-21,LOW,DELETED,,1,2020-08-20 00:00:00,
40,OUT00040,Shree Mart,,GT,GENERAL_STORE,Indore,Madhya Pradesh,5,266826,16.236118,82.593359,120,28,2019-12-02,532000.0,14,35ABCDE7487F1Z1,AMBIENT,0,18175,Sneha Dutta,9623878254,sneha.dutta@example.com,2025-10-02,LOW,ACTIVE,,0,2019-12-02 00:00:00,
41,OUT00041,New Stores,,MT,MINI_MARKET,Hyderabad,Telangana,2,544136,29.988482,76.135226,50,73,2024-02-21,734000.0,0,16ABCDE8380F1Z8,AMBIENT,1,19086,Leela Dutta,9477109886,leela.dutta@example.com,2025-10-25,LOW,ACTIVE,,0,2024-02-21 00:00:00,
42,OUT00042,Nova Enterprises,,HORECA,CLOUD_KITCHEN,Raipur,Chhattisgarh,5,630968,24.589041,79.148405,104,17,2019-12-31,519000.0,45,02ABCDE9877F1Z4,AMBIENT,0,756,Rohit Sinha,9364111794,rohit.sinha@example.com,2025-12-18,LOW,ACTIVE,,0,2019-12-31 00:00:00,
43,OUT00043,Nova Provision,,GT,GENERAL_STORE,Chennai,Tamil Nadu,2,348014,22.278227,89.532302,25,78,2020-04-15,40000.0,7,11ABCDE2405F1Z4,AMBIENT,1,13195,Farah Rao,9680978621,farah.rao@example.com,2025-02-10,LOW,CLOSED,2025-06-30,0,2020-04-15 00:00:00,
44,OUT00044,Balaji Stores,,HORECA,CAFE,Hyderabad,Telangana,2,291842,17.169453,83.57042,115,15,2021-01-29,289000.0,45,01ABCDE6592F1Z3,AMBIENT_CHILLED,0,9585,Suresh Pillai,9691730635,suresh.pillai@example.com,2025-12-25,MEDIUM,ACTIVE,,0,2021-01-29 00:00:00,
45,OUT00045,New Trading Co,,HORECA,HOTEL,Hyderabad,Telangana,2,612193,20.476608,91.458488,139,68,2019-03-06,840000.0,45,16ABCDE7403F1Z3,AMBIENT,1,2667,Ananya Bose,9869734357,ananya.bose@example.com,2025-09-10,LOW,DELETED,,1,2019-03-06 00:00:00,
46,OUT00046,Royal Enterprises,,MT,SUPERMARKET,Chennai,Tamil Nadu,2,261219,24.428059,87.171894,27,63,2023-01-22,550000.0,45,22ABCDE4326F1Z5,AMBIENT_CHILLED,0,20713,Pooja Ghosh,9995265359,,2025-05-16,LOW,ACTIVE,,0,2023-01-22 00:00:00,
47,OUT00047,Green Trading Co,,GT,KIRANA,Kolkata,West Bengal,4,695735,17.807524,72.633918,64,69,2024-06-28,59000.0,21,05ABCDE5917F1Z4,AMBIENT,1,13555,Naveen Dutta,9113781526,naveen.dutta@example.com,2025-05-27,LOW,ACTIVE,,0,2024-06-28 00:00:00,
48,OUT00048,Metro Provision,,HORECA,CLOUD_KITCHEN,Surat,Gujarat,1,751761,13.984776,79.627899,89,11,2024-01-11,324000.0,21,10ABCDE3857F1Z8,AMBIENT,0,3800,Arjun Patel,9990919777,,2026-04-09,HIGH,ACTIVE,,0,2024-01-11 00:00:00,
49,OUT00049,Metro Trading Co,,GT,KIRANA,Gurugram,Haryana,3,666377,19.422263,71.789422,3,38,2022-08-22,480000.0,0,12ABCDE5357F1Z7,AMBIENT_CHILLED,1,12141,Naveen Mehta,9496358026,,2026-06-20,HIGH,ACTIVE,,0,2022-08-22 00:00:00,
50,OUT00050,Royal Enterprises,,GT,CHEMIST,Ludhiana,Punjab,3,362071,10.237276,80.245376,93,13,2018-07-14,103000.0,0,05ABCDE8036F1Z5,AMBIENT,1,5088,Nisha Reddy,9725548564,,2025-07-09,HIGH,ACTIVE,,0,2018-07-14 00:00:00,
51,OUT00051,Anand Bazaar,,MT,MINI_MARKET,Gurugram,Haryana,3,173444,30.889578,80.794507,3,59,2019-05-04,260000.0,45,03ABCDE2777F1Z3,AMBIENT,0,1068,Naveen Patel,9559592216,naveen.patel@example.com,2026-04-02,LOW,ACTIVE,,0,2019-05-04 00:00:00,
52,OUT00052,Royal Stores,,GT,KIRANA,Gurugram,Haryana,3,452330,10.632281,71.345187,130,30,2024-10-31,90000.0,45,35ABCDE7804F1Z5,AMBIENT,0,22313,Ananya Rao,9569007813,ananya.rao@example.com,2025-02-15,MEDIUM,ACTIVE,,0,2024-10-31 00:00:00,
53,OUT00053,Metro Trading Co,,MT,SUPERMARKET,Nagpur,Maharashtra,5,766109,24.233594,77.026279,126,90,2021-12-07,674000.0,21,29ABCDE4583F1Z6,AMBIENT,0,24929,Rohit Menon,9810660653,rohit.menon@example.com,2025-04-13,LOW,ACTIVE,,0,2021-12-07 00:00:00,
54,OUT00054,Star Mart,,ECOM_DARKSTORE,DARKSTORE,Mumbai,Maharashtra,1,479449,12.348525,75.439976,94,92,2022-08-12,171000.0,0,29ABCDE1574F1Z0,AMBIENT,1,9053,Deepak Dutta,9972913441,,2026-06-14,LOW,ACTIVE,,0,2022-08-12 00:00:00,
55,OUT00055,Metro Trading Co,,GT,KIRANA,Kochi,Kerala,2,777411,15.001425,88.844112,31,2,2021-10-04,573000.0,7,12ABCDE6233F1Z3,AMBIENT_CHILLED,0,16580,Arjun Reddy,9720411005,arjun.reddy@example.com,2025-11-28,MEDIUM,DELETED,,1,2021-10-04 00:00:00,
56,OUT00056,Balaji Stores,,GT,KIRANA,Patna,Bihar,4,715660,16.407184,69.458461,62,61,2020-01-13,210000.0,7,17ABCDE5774F1Z4,AMBIENT,0,15784,Imran Mehta,9226078475,,2025-01-30,HIGH,ACTIVE,,0,2020-01-13 00:00:00,
57,OUT00057,Royal Enterprises,,MT,HYPERMARKET,Ludhiana,Punjab,3,777213,25.735124,89.656992,60,78,2024-01-14,46000.0,0,23ABCDE1004F1Z4,AMBIENT_CHILLED,1,23827,Suresh Rao,9538229964,suresh.rao@example.com,2025-11-14,LOW,CLOSED,2025-12-03,0,2024-01-14 00:00:00,
58,OUT00058,New Provision,,GT,KIRANA,Patna,Bihar,4,732507,29.112836,88.389788,17,50,2020-07-24,640000.0,14,35ABCDE4487F1Z2,AMBIENT,0,19551,Leela Menon,9848050083,,2026-04-08,LOW,DELETED,,1,2020-07-24 00:00:00,
59,OUT00059,New Provision,,GT,GENERAL_STORE,Surat,Gujarat,1,167128,13.654516,71.784385,126,78,2023-08-26,684000.0,45,33ABCDE5660F1Z0,AMBIENT,0,21360,Suresh Nair,9292607750,suresh.nair@example.com,2026-01-05,LOW,ACTIVE,,0,2023-08-26 00:00:00,
60,OUT00060,Balaji Stores,,HORECA,QSR,Pune,Maharashtra,1,589851,11.12991,86.921305,85,40,2021-03-20,729000.0,7,08ABCDE3099F1Z5,AMBIENT,0,10118,Sanjay Joshi,9958675102,sanjay.joshi@example.com,2025-02-08,HIGH,ACTIVE,,0,2021-03-20 00:00:00,
61,OUT00061,Royal Supermarket,,ECOM_DARKSTORE,DARKSTORE,Gurugram,Haryana,3,357531,10.337223,72.512974,70,84,2023-12-03,394000.0,0,27ABCDE5495F1Z7,AMBIENT,1,19498,Pooja Patel,9277336679,pooja.patel@example.com,2026-03-05,LOW,CLOSED,2025-05-07,0,2023-12-03 00:00:00,
62,OUT00062,Balaji Bazaar,,GT,CHEMIST,Chennai,Tamil Nadu,2,590568,27.71782,74.492624,76,17,2022-02-14,496000.0,7,14ABCDE8914F1Z4,AMBIENT_CHILLED,0,24973,Divya Sharma,9906193828,divya.sharma@example.com,2025-07-25,LOW,ACTIVE,,0,2022-02-14 00:00:00,
63,OUT00063,Star Trading Co,,GT,CHEMIST,Surat,Gujarat,1,371611,24.570864,73.074826,107,86,2019-03-09,630000.0,14,01ABCDE2573F1Z6,AMBIENT_CHILLED,0,4328,Priya Ghosh,9528736594,priya.ghosh@example.com,2026-02-06,MEDIUM,ACTIVE,,0,2019-03-09 00:00:00,
64,OUT00064,Star Supermarket,,MT,MINI_MARKET,Patna,Bihar,4,678907,17.504726,81.660013,120,28,2019-03-08,703000.0,7,01ABCDE1691F1Z0,AMBIENT_CHILLED,0,24288,Rohit Ghosh,9945842265,rohit.ghosh@example.com,2025-03-30,LOW,ACTIVE,,0,2019-03-08 00:00:00,
65,OUT00065,Balaji Mart,,ECOM_DARKSTORE,DARKSTORE,Gurugram,Haryana,3,619712,19.61316,89.820858,11,94,2021-01-13,814000.0,21,06ABCDE6994F1Z2,AMBIENT,0,24098,Naveen Kulkarni,9407166906,naveen.kulkarni@example.com,2025-08-28,LOW,ACTIVE,,0,2021-01-13 00:00:00,
66,OUT00066,Star Enterprises,,HORECA,QSR,Bengaluru,Karnataka,2,255786,14.158804,81.028658,72,30,2021-05-20,590000.0,0,37ABCDE6479F1Z0,AMBIENT,0,16314,Suresh Ghosh,9372176908,suresh.ghosh@example.com,2025-03-12,HIGH,ACTIVE,,0,2021-05-20 00:00:00,
67,OUT00067,Royal Bazaar,,ECOM_DARKSTORE,DARKSTORE,Delhi,Delhi,3,793633,13.737373,87.698457,49,82,2021-05-14,885000.0,7,27ABCDE4712F1Z5,AMBIENT_CHILLED,0,11949,Arjun Sharma,9835420211,arjun.sharma@example.com,2026-04-11,LOW,ACTIVE,,0,2021-05-14 00:00:00,
68,OUT00068,Anand Supermarket,,MT,SUPERMARKET,Raipur,Chhattisgarh,5,324117,11.74572,73.867416,21,68,2020-07-07,768000.0,21,34ABCDE3145F1Z5,AMBIENT_CHILLED,0,4090,Divya Ghosh,9324336346,divya.ghosh@example.com,2025-12-13,LOW,ACTIVE,,0,2020-07-07 00:00:00,
69,OUT00069,Green Provision,,MT,MINI_MARKET,Kochi,Kerala,2,176973,20.94648,72.89174,60,80,2020-11-21,279000.0,30,08ABCDE6284F1Z3,AMBIENT_CHILLED,0,6112,Meera Bose,9772719549,meera.bose@example.com,2026-02-24,LOW,ACTIVE,,0,2020-11-21 00:00:00,
70,OUT00070,Royal Stores,,GT,GENERAL_STORE,Ludhiana,Punjab,3,412370,19.324128,82.061869,138,69,2024-04-08,859000.0,0,13ABCDE2706F1Z6,AMBIENT,1,18529,Ananya Khan,9375717088,,2025-08-12,LOW,ACTIVE,,0,2024-04-08 00:00:00,
71,OUT00071,Green Supermarket,,GT,KIRANA,Kochi,Kerala,2,273879,26.727494,78.088523,10,72,2018-07-01,146000.0,21,36ABCDE6366F1Z2,AMBIENT,0,3259,Sanjay Dutta,9740449394,sanjay.dutta@example.com,2025-12-08,LOW,ACTIVE,,0,2018-07-01 00:00:00,
72,OUT00072,Sri Mart,,HORECA,HOTEL,Delhi,Delhi,3,241269,22.694658,89.987819,27,14,2022-12-23,416000.0,21,06ABCDE5722F1Z6,AMBIENT,0,20479,Pooja Dutta,9522046139,pooja.dutta@example.com,2025-01-29,LOW,ACTIVE,,0,2022-12-23 00:00:00,
73,OUT00073,Balaji Trading Co,,GT,KIRANA,Raipur,Chhattisgarh,5,792765,15.925129,77.417134,49,54,2021-02-16,774000.0,7,28ABCDE8699F1Z1,AMBIENT_CHILLED,0,22672,Naveen Menon,9869967047,naveen.menon@example.com,2025-10-22,LOW,ACTIVE,,0,2021-02-16 00:00:00,
74,OUT00074,Anand Mart,,GT,CHEMIST,Hyderabad,Telangana,2,526341,14.899144,69.600232,105,19,2022-09-07,692000.0,14,25ABCDE1285F1Z5,AMBIENT,0,597,Sanjay Patel,9257658849,sanjay.patel@example.com,2025-10-29,LOW,ACTIVE,,0,2022-09-07 00:00:00,
75,OUT00075,Shree Provision,,GT,CHEMIST,Nagpur,Maharashtra,5,549009,15.644376,84.896415,42,14,2020-01-18,744000.0,21,33ABCDE2067F1Z4,AMBIENT_CHILLED,1,2858,Anil Nair,9772433291,,2025-03-07,LOW,ACTIVE,,0,2020-01-18 00:00:00,
76,OUT00076,Shree Stores,,GT,KIRANA,Kolkata,West Bengal,4,724021,14.093362,85.497406,2,31,2022-12-26,695000.0,21,11ABCDE4192F1Z7,AMBIENT,1,3025,Ananya Patel,9336093690,ananya.patel@example.com,2025-05-09,MEDIUM,ACTIVE,,0,2022-12-26 00:00:00,
77,OUT00077,Nova Provision,,HORECA,CAFE,Pune,Maharashtra,1,769171,28.162361,76.715184,83,53,2018-11-21,721000.0,14,16ABCDE7212F1Z3,AMBIENT,1,2953,Imran Menon,9627636069,imran.menon@example.com,2026-05-20,LOW,ACTIVE,,0,2018-11-21 00:00:00,
78,OUT00078,Balaji Trading Co,,HORECA,CAFE,Surat,Gujarat,1,437461,32.40053,78.574238,98,57,2022-03-01,808000.0,14,28ABCDE4059F1Z1,AMBIENT,0,5032,Anil Pillai,9964761770,anil.pillai@example.com,2026-04-04,LOW,ACTIVE,,0,2022-03-01 00:00:00,
79,OUT00079,Anand Provision,,HORECA,CAFE,Hyderabad,Telangana,2,418511,14.031159,80.744138,82,14,2022-09-10,566000.0,14,30ABCDE6357F1Z3,AMBIENT_CHILLED,0,14557,Ananya Ghosh,9497814985,ananya.ghosh@example.com,2026-01-28,MEDIUM,ACTIVE,,0,2022-09-10 00:00:00,
80,OUT00080,Balaji Stores,,GT,KIRANA,Bangalore,Karnataka,2,340073,23.463787,86.966781,90,58,2020-10-26,442000.0,21,10ABCDE3228F1Z7,AMBIENT,1,14310,Sneha Joshi,9488402992,sneha.joshi@example.com,2025-09-04,LOW,ACTIVE,,0,2020-10-26 00:00:00,
81,OUT00081,Shree Mart,,MT,MINI_MARKET,Hyderabad,Telangana,2,684170,15.834442,72.290612,125,4,2023-04-29,841000.0,45,18ABCDE8898F1Z5,AMBIENT_CHILLED,1,1869,Naveen Menon,9952593392,,2025-05-03,MEDIUM,ACTIVE,,0,2023-04-29 00:00:00,
82,OUT00082,Green Enterprises,,GT,CHEMIST,Indore,Madhya Pradesh,5,482400,26.104823,77.637831,73,68,2019-09-24,166000.0,30,18ABCDE2398F1Z1,AMBIENT,0,11728,Sanjay Rao,9458437174,sanjay.rao@example.com,2025-07-05,LOW,ACTIVE,,0,2019-09-24 00:00:00,
83,OUT00083,Anand Stores,,ECOM_DARKSTORE,DARKSTORE,Nagpur,Maharashtra,5,420608,20.091687,91.951486,108,61,2020-07-08,287000.0,45,27ABCDE3480F1Z4,AMBIENT,1,4627,Deepak Pillai,9681784612,deepak.pillai@example.com,2025-08-05,LOW,ACTIVE,,0,2020-07-08 00:00:00,
84,OUT00084,Shree Stores,,GT,GENERAL_STORE,Bengaluru,Karnataka,2,425051,31.435265,77.089434,29,26,2019-04-17,599000.0,45,32ABCDE5140F1Z4,AMBIENT_CHILLED,0,25195,Meera Rao,9124775049,meera.rao@example.com,2025-10-07,LOW,ACTIVE,,0,2019-04-17 00:00:00,
85,OUT00085,Green Provision,,MT,HYPERMARKET,Pune,Maharashtra,1,532891,26.609284,91.705578,85,54,2018-12-04,440000.0,21,03ABCDE3569F1Z0,AMBIENT_CHILLED,0,12747,Leela Ghosh,9973760008,leela.ghosh@example.com,2026-01-09,LOW,ACTIVE,,0,2018-12-04 00:00:00,
